 -- 0/200000. Average 0.00. Remaining 166.37. So far 0.00. Total? 166.37
 -- 1/200000. Average 0.45. Remaining 90393.54. So far 0.90. Total? 90394.00
 -- 2/200000. Average 0.30. Remaining 60631.38. So far 0.91. Total? 60631.99
 -- 3/200000. Average 0.23. Remaining 45744.76. So far 0.91. Total? 45745.44
 -- 4/200000. Average 0.18. Remaining 36771.94. So far 0.92. Total? 36772.68
 -- 5/200000. Average 0.15. Remaining 30803.20. So far 0.92. Total? 30803.97
 -- 6/200000. Average 0.13. Remaining 26518.60. So far 0.93. Total? 26519.39
 -- 7/200000. Average 0.12. Remaining 23303.48. So far 0.93. Total? 23304.30
 -- 8/200000. Average 0.10. Remaining 20802.46. So far 0.94. Total? 20803.29
 -- 9/200000. Average 0.09. Remaining 18804.27. So far 0.94. Total? 18805.12
 -- 10/200000. Average 0.09. Remaining 17180.29. So far 0.94. Total? 17181.15
 -- 11/200000. Average 0.08. Remaining 15855.53. So far 0.95. Total? 15856.40
 -- 12/200000. Average 0.07. Remaining 14765.33. So far 0.96. Total? 14766.21
 -- 13/200000. Average 0.07. Remaining 13775.65. So far 0.96. Total? 13776.54
 -- 14/200000. Average 0.06. Remaining 12974.49. So far 0.97. Total? 12975.40
 -- 15/200000. Average 0.06. Remaining 12297.99. So far 0.98. Total? 12298.91
 -- 16/200000. Average 0.06. Remaining 11663.74. So far 0.99. Total? 11664.67
 -- 17/200000. Average 0.06. Remaining 11067.82. So far 1.00. Total? 11068.77
 -- 18/200000. Average 0.05. Remaining 10529.42. So far 1.00. Total? 10530.37
 -- 19/200000. Average 0.05. Remaining 10089.55. So far 1.01. Total? 10090.51
 -- 20/200000. Average 0.05. Remaining 9701.25. So far 1.02. Total? 9702.22
 -- 21/200000. Average 0.05. Remaining 9335.04. So far 1.03. Total? 9336.02
 -- 22/200000. Average 0.04. Remaining 8973.33. So far 1.03. Total? 8974.32
 -- 23/200000. Average 0.04. Remaining 8656.56. So far 1.04. Total? 8657.56
 -- 24/200000. Average 0.04. Remaining 8358.38. So far 1.04. Total? 8359.38
 -- 25/200000. Average 0.04. Remaining 8075.71. So far 1.05. Total? 8076.72
 -- 26/200000. Average 0.04. Remaining 7807.34. So far 1.05. Total? 7808.36
 -- 27/200000. Average 0.04. Remaining 7558.74. So far 1.06. Total? 7559.76
 -- 28/200000. Average 0.04. Remaining 7339.45. So far 1.06. Total? 7340.48
 -- 29/200000. Average 0.04. Remaining 7122.15. So far 1.07. Total? 7123.19
 -- 30/200000. Average 0.03. Remaining 6917.90. So far 1.07. Total? 6918.94
 -- 31/200000. Average 0.03. Remaining 6727.18. So far 1.08. Total? 6728.22
 -- 32/200000. Average 0.03. Remaining 6548.43. So far 1.08. Total? 6549.48
 -- 33/200000. Average 0.03. Remaining 6382.99. So far 1.09. Total? 6384.05
 -- 34/200000. Average 0.03. Remaining 6228.87. So far 1.09. Total? 6229.93
 -- 35/200000. Average 0.03. Remaining 6080.31. So far 1.09. Total? 6081.38
 -- 36/200000. Average 0.03. Remaining 5938.53. So far 1.10. Total? 5939.59
 -- 37/200000. Average 0.03. Remaining 5803.37. So far 1.10. Total? 5804.44
 -- 38/200000. Average 0.03. Remaining 5675.12. So far 1.11. Total? 5676.20
 -- 39/200000. Average 0.03. Remaining 5555.98. So far 1.11. Total? 5557.06
 -- 40/200000. Average 0.03. Remaining 5455.58. So far 1.12. Total? 5456.67
 -- 41/200000. Average 0.03. Remaining 5357.28. So far 1.13. Total? 5358.38
 -- 42/200000. Average 0.03. Remaining 5253.05. So far 1.13. Total? 5254.16
 -- 43/200000. Average 0.03. Remaining 5152.02. So far 1.13. Total? 5153.13
 -- 44/200000. Average 0.03. Remaining 5055.30. So far 1.14. Total? 5056.41
 -- 45/200000. Average 0.02. Remaining 4963.04. So far 1.14. Total? 4964.16
 -- 46/200000. Average 0.02. Remaining 4874.04. So far 1.15. Total? 4875.16
 -- 47/200000. Average 0.02. Remaining 4788.66. So far 1.15. Total? 4789.79
 -- 48/200000. Average 0.02. Remaining 4706.78. So far 1.15. Total? 4707.91
 -- 49/200000. Average 0.02. Remaining 4627.97. So far 1.16. Total? 4629.10
 -- 50/200000. Average 0.02. Remaining 4552.24. So far 1.16. Total? 4553.38
 -- 51/200000. Average 0.02. Remaining 4479.52. So far 1.16. Total? 4480.66
 -- 52/200000. Average 0.02. Remaining 4409.51. So far 1.17. Total? 4410.65
 -- 53/200000. Average 0.02. Remaining 4341.71. So far 1.17. Total? 4342.86
 -- 54/200000. Average 0.02. Remaining 4278.64. So far 1.18. Total? 4279.79
 -- 55/200000. Average 0.02. Remaining 4216.71. So far 1.18. Total? 4217.87
 -- 56/200000. Average 0.02. Remaining 4156.45. So far 1.18. Total? 4157.61
 -- 57/200000. Average 0.02. Remaining 4097.73. So far 1.19. Total? 4098.90
 -- 58/200000. Average 0.02. Remaining 4040.83. So far 1.19. Total? 4042.00
 -- 59/200000. Average 0.02. Remaining 3990.89. So far 1.20. Total? 3992.06
 -- 60/200000. Average 0.02. Remaining 3941.37. So far 1.20. Total? 3942.55
 -- 61/200000. Average 0.02. Remaining 3891.35. So far 1.21. Total? 3892.54
 -- 62/200000. Average 0.02. Remaining 3842.00. So far 1.21. Total? 3843.19
 -- 63/200000. Average 0.02. Remaining 3794.40. So far 1.21. Total? 3795.60
 -- 64/200000. Average 0.02. Remaining 3748.70. So far 1.22. Total? 3749.90
 -- 65/200000. Average 0.02. Remaining 3704.06. So far 1.22. Total? 3705.26
 -- 66/200000. Average 0.02. Remaining 3660.76. So far 1.23. Total? 3661.97
 -- 67/200000. Average 0.02. Remaining 3618.50. So far 1.23. Total? 3619.71
 -- 68/200000. Average 0.02. Remaining 3577.43. So far 1.23. Total? 3578.65
 -- 69/200000. Average 0.02. Remaining 3537.35. So far 1.24. Total? 3538.57
 -- 70/200000. Average 0.02. Remaining 3498.17. So far 1.24. Total? 3499.40
 -- 71/200000. Average 0.02. Remaining 3460.17. So far 1.25. Total? 3461.40
 -- 72/200000. Average 0.02. Remaining 3423.55. So far 1.25. Total? 3424.78
 -- 73/200000. Average 0.02. Remaining 3387.79. So far 1.25. Total? 3389.02
 -- 74/200000. Average 0.02. Remaining 3352.45. So far 1.26. Total? 3353.69
 -- 75/200000. Average 0.02. Remaining 3318.24. So far 1.26. Total? 3319.49
 -- 76/200000. Average 0.02. Remaining 3285.01. So far 1.27. Total? 3286.26
 -- 77/200000. Average 0.02. Remaining 3253.09. So far 1.27. Total? 3254.34
 -- 78/200000. Average 0.02. Remaining 3221.62. So far 1.27. Total? 3222.87
 -- 79/200000. Average 0.02. Remaining 3190.90. So far 1.28. Total? 3192.16
 -- 80/200000. Average 0.02. Remaining 3160.54. So far 1.28. Total? 3161.81
 -- 81/200000. Average 0.02. Remaining 3130.97. So far 1.28. Total? 3132.24
 -- 82/200000. Average 0.02. Remaining 3102.28. So far 1.29. Total? 3103.55
 -- 83/200000. Average 0.02. Remaining 3074.25. So far 1.29. Total? 3075.53
 -- 84/200000. Average 0.02. Remaining 3047.05. So far 1.30. Total? 3048.33
 -- 85/200000. Average 0.02. Remaining 3020.47. So far 1.30. Total? 3021.75
 -- 86/200000. Average 0.01. Remaining 2994.44. So far 1.30. Total? 2995.73
 -- 87/200000. Average 0.01. Remaining 2968.62. So far 1.31. Total? 2969.91
 -- 88/200000. Average 0.01. Remaining 2943.45. So far 1.31. Total? 2944.75
 -- 89/200000. Average 0.01. Remaining 2922.37. So far 1.32. Total? 2923.68
 -- 90/200000. Average 0.01. Remaining 2901.21. So far 1.32. Total? 2902.51
 -- 91/200000. Average 0.01. Remaining 2878.45. So far 1.32. Total? 2879.76
 -- 92/200000. Average 0.01. Remaining 2855.93. So far 1.33. Total? 2857.24
 -- 93/200000. Average 0.01. Remaining 2833.52. So far 1.33. Total? 2834.84
 -- 94/200000. Average 0.01. Remaining 2811.51. So far 1.34. Total? 2812.83
 -- 95/200000. Average 0.01. Remaining 2789.59. So far 1.34. Total? 2790.91
 -- 96/200000. Average 0.01. Remaining 2767.88. So far 1.34. Total? 2769.21
 -- 97/200000. Average 0.01. Remaining 2747.37. So far 1.35. Total? 2748.70
 -- 98/200000. Average 0.01. Remaining 2730.28. So far 1.35. Total? 2731.62
 -- 99/200000. Average 0.01. Remaining 2738.39. So far 1.37. Total? 2739.74
 -- 100/200000. Average 0.01. Remaining 2749.64. So far 1.39. Total? 2751.02
